2236445530	 IBGYDRAFT_00000010 Glutamate 5-kinase [alpha proteobacterium SCGC AAA288-G21]
2236445531	 IBGYDRAFT_00000020 Obg family GTPase CgtA [alpha proteobacterium SCGC AAA288-G21]
2236445532	 IBGYDRAFT_00000030 ribosomal protein L27 [alpha proteobacterium SCGC AAA288-G21]
2236445533	 IBGYDRAFT_00000040 ribosomal protein L21 [alpha proteobacterium SCGC AAA288-G21]
2236445534	 IBGYDRAFT_00000050 hydroxyacylglutathione hydrolase [alpha proteobacterium SCGC AAA288-G21]
2236445535	 IBGYDRAFT_00000060 methionine biosynthesis protein MetW [alpha proteobacterium SCGC AAA288-G21]
2236445536	 IBGYDRAFT_00000070 homoserine O-acetyltransferase [alpha proteobacterium SCGC AAA288-G21]
2236445537	 IBGYDRAFT_00000080 histidinol-phosphate aminotransferase [alpha proteobacterium SCGC AAA288-G21]
2236445538	 IBGYDRAFT_00000090 Prephenate dehydrogenase [alpha proteobacterium SCGC AAA288-G21]
2236445539	 IBGYDRAFT_00000100 Sulfotransferase domain. [alpha proteobacterium SCGC AAA288-G21]
2236445540	 IBGYDRAFT_00000110 glutamate 5-kinase [alpha proteobacterium SCGC AAA288-G21]
2236445541	 IBGYDRAFT_00000120 gamma-glutamyl phosphate reductase [alpha proteobacterium SCGC AAA288-G21]
2236445542	 IBGYDRAFT_00000130 nicotinate (nicotinamide) nucleotide adenylyltransferase [alpha proteobacterium SCGC AAA288-G21]
2236445543	 IBGYDRAFT_00000140 iojap-like ribosome-associated protein [alpha proteobacterium SCGC AAA288-G21]
2236445544	 IBGYDRAFT_00000150 C-terminal peptidase (prc) [alpha proteobacterium SCGC AAA288-G21]
2236445545	 IBGYDRAFT_00000160 NTP pyrophosphohydrolases including oxidative damage repair enzymes [alpha proteobacterium SCGC AAA288-G21]
2236445546	 IBGYDRAFT_00000170 ATP synthase, F1 epsilon subunit (delta in mitochondria) [alpha proteobacterium SCGC AAA288-G21]
2236445547	 IBGYDRAFT_00000180 ATP synthase, F1 beta subunit [alpha proteobacterium SCGC AAA288-G21]
2236445548	 IBGYDRAFT_00000190 ATP synthase, F1 gamma subunit [alpha proteobacterium SCGC AAA288-G21]
2236445549	 IBGYDRAFT_00000200 proton translocating ATP synthase, F1 alpha subunit [alpha proteobacterium SCGC AAA288-G21]
2236445550	 IBGYDRAFT_00000210 ATP synthase, F1 delta subunit [alpha proteobacterium SCGC AAA288-G21]
2236445551	 IBGYDRAFT_00000220 primosomal protein N' [alpha proteobacterium SCGC AAA288-G21]
2236445552	 IBGYDRAFT_00000230 dihydrolipoamide dehydrogenase [alpha proteobacterium SCGC AAA288-G21]
2236445553	 IBGYDRAFT_00000240 Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component, and related enzymes [alpha proteobacterium SCGC AAA288-G21]
2236445554	 IBGYDRAFT_00000250 Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component, and related enzymes [alpha proteobacterium SCGC AAA288-G21]
2236445555	 IBGYDRAFT_00000260 2-oxoglutarate dehydrogenase, E1 component [alpha proteobacterium SCGC AAA288-G21]
2236445556	 IBGYDRAFT_00000270 succinyl-CoA synthetase, alpha subunit [alpha proteobacterium SCGC AAA288-G21]
2236445557	 IBGYDRAFT_00000280 succinyl-CoA synthetase, beta subunit [alpha proteobacterium SCGC AAA288-G21]
